"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"종로구","공원001_명륜3가 산 2-11 와룡공원_메인","37.5913","126.9945","1","2022-12-01"
"종로구","공원002_명륜3가 산 2-11 와룡공원_검지1","37.5912","126.9900","1","2022-12-01"
"종로구","공원002_명륜3가 산 2-11 와룡공원_메인","37.5912","126.9900","1","2022-12-01"
"종로구","공원003_명륜3가 산 2-11 와룡공원_메인","37.5919","126.9929","1","2022-12-01"
"종로구","공원004_명륜3가 산 2-11 와룡공원_메인","37.5922","126.9961","1","2022-12-01"
"종로구","공원005_옥인동 185-3 수성동계곡_메인","37.5821","126.9637","1","2022-12-01"
"종로구","공원006_옥인동 185-3 수성동계곡_메인","37.5825","126.9639","1","2022-12-01"
"종로구","공원007_옥인동 185-3 수성동계곡_메인","37.5824","126.9623","1","2022-12-01"
"종로구","공원008_옥인동 185-3 수성동계곡_메인","37.5830","126.9620","1","2022-12-01"
"종로구","공원009_숭인동 58-587 숭인공원_메인","37.5781","127.0178","1","2022-12-01"
"종로구","공원010_숭인동 58-60 숭인공원_검지1","37.5770","127.0184","1","2022-12-01"
"종로구","공원010_숭인동 58-60 숭인공원_메인","37.5770","127.0184","1","2022-12-01"
"종로구","공원011_숭인동 58-228 숭인공원_메인","37.5755","127.0184","1","2022-12-01"
"종로구","공원012_청운동 3-55 청운공원_메인","37.5913","126.9663","1","2022-12-01"
"종로구","공원013_청운동 7-6 청운공원_메인","37.5894","126.9653","1","2022-12-01"
"종로구","공원014_평창동 산 6-17 북악산 팔각정_검지1","37.6020","126.9817","1","2022-12-01"
"종로구","공원014_평창동 산 6-17 북악산 팔각정_메인","37.6018","126.9812","1","2022-12-01"
"종로구","공원015_누상동 산 1-38 인왕산도시공원_메인","37.5790","126.9632","1","2022-12-01"
"종로구","공원016_누상동 산 1-3 인왕산도시공원_메인","37.5797","126.9642","1","2022-12-01"
"종로구","공원017_청운동 3-148 인왕산도시공원_검지1","37.5921","126.9674","1","2022-12-01"
"종로구","공원017_청운동 3-148 인왕산도시공원_메인","37.5921","126.9674","1","2022-12-01"
"종로구","공원018_사직동 산 1-10 사직공원_메인","37.5753","126.9636","1","2022-12-01"
"종로구","공원018_사직동 산1-10 사직공원_검지1","37.5753","126.9636","1","2022-12-01"
"종로구","공원019_사직동 산 1-1 사직공원_메인","37.5766","126.9656","1","2022-12-01"
"종로구","공원020_새문안로 55 경희궁공원 쉼터_메인","37.5701","126.9696","1","2022-12-01"
"종로구","공원021_율곡로 283 동대문성곽공원_메인","37.5725","127.0086","1","2022-12-01"
"종로구","공원022_율곡로 283 동대문성곽공원_메인","37.5731","127.0087","1","2022-12-01"
"종로구","공원023_숭인동 58-228 숭인공원_메인","37.5757","127.0181","1","2022-12-01"
"종로구","공원024_홍파동 2-2 월암공원_메인","37.5718","126.9656","1","2022-12-01"
"종로구","공원025_송월동 1-2 월암공원_메인","37.5711","126.9659","1","2022-12-01"
"종로구","공원026_수송동 80-7 수송공원_메인","37.5739","126.9811","1","2022-12-01"
"종로구","공원027_연지동 136-92 연지상상어린이공원_메인","37.5742","127.0010","1","2022-12-01"
"종로구","공원028_창신길 210-11 낙산상상어린이공원_메인","37.5795","127.0103","1","2022-12-01"
"종로구","공원029_옥인동 산 3-1 인왕산도시공원_검지1","37.5827","126.9615","1","2022-12-01"
"종로구","공원029_옥인동 산 3-1 인왕산도시공원_메인","37.5827","126.9615","1","2022-12-01"
"종로구","공원030_옥인동 산 3-1 인왕산도시공원_메인","37.5841","126.9639","1","2022-12-01"
"종로구","공원031_청운동 7-3 청운공원_메인","37.5909","126.9663","1","2022-12-01"
"종로구","공원032_북촌로 134-3 삼청공원_메인","37.5886","126.9841","1","2022-12-01"
"종로구","공원033_삼청동 산 2-1 삼청공원_메인","37.5889","126.9849","1","2022-12-01"
"종로구","공원034_삼청동 산 2-1 삼청공원_메인","37.5895","126.9857","1","2022-12-01"
"종로구","공원035_혜화로9길 24-9 명륜상상어린이공원_검지1","37.5882","126.9982","1","2022-12-01"
"종로구","공원035_혜화로9길 24-9 명륜상상어린이공원_검지2","37.5882","126.9982","1","2022-12-01"
"종로구","공원035_혜화로9길 24-9 명륜상상어린이공원_메인","37.5882","126.9982","1","2022-12-01"
"종로구","공원036_평창동 470 참샘골어린이공원_메인","37.6149","126.9744","1","2022-12-01"
"종로구","공원037_평창동 495-4 감나무골어린이공원_메인","37.6126","126.9704","1","2022-12-01"
"종로구","공원038_평창동 327-7 새마을어린이공원_메인","37.6057","126.9651","1","2022-12-01"
"종로구","공원039_명륜2가 132 성대정문 쉼터_메인","37.5848","126.9971","1","2022-12-01"
"종로구","공원040_성균관로 25 성대정문 쉼터_검지1","37.5850","126.9971","1","2022-12-01"
"종로구","공원040_성균관로 25 성대정문 쉼터_메인","37.5850","126.9971","1","2022-12-01"
"종로구","공원041_무악동 산3-4 인왕산도시공원_메인","37.5790","126.9593","1","2022-12-01"
"종로구","공원042_무악동 산3-4 인왕산도시공원_검지1","37.5800","126.9578","1","2022-12-01"
"종로구","공원043_청운동 3-100 인왕산도시공원_메인","37.5919","126.9667","1","2022-12-01"
"종로구","공원044_명륜3가 53-2 경학어린이공원_메인","37.5847","126.9968","1","2022-12-01"
"종로구","공원045_서린동 82 서린공원_검지1","37.5696","126.9809","1","2022-12-01"
"종로구","공원045_서린동 82 서린공원_메인","37.5696","126.9809","1","2022-12-01"
"종로구","공원046_동숭동 2-39 백동어린이놀이터_메인","37.5831","127.0049","1","2022-12-01"
"종로구","공원047_숭인동 605 숭인어린이놀이터_메인","37.5779","127.0203","1","2022-12-01"
"종로구","공원048_종로 157 종묘광장공원_메인","37.5713","126.9942","1","2022-12-01"
"종로구","공원049_종로 157 종묘광장공원_메인","37.5708","126.9940","1","2022-12-01"
"종로구","공원050_종로 157 종묘광장공원_메인","37.5713","126.9948","1","2022-12-01"
"종로구","공원051_종로 157 종묘광장공원_메인","37.5717","126.9948","1","2022-12-01"
"종로구","공원052_종로 157 종묘광장공원_메인","37.5720","126.9948","1","2022-12-01"
"종로구","공원053_종로 157 종묘광장공원_메인","37.5716","126.9943","1","2022-12-01"
"종로구","공원054_종로 157 종묘광장공원_메인","37.5720","126.9938","1","2022-12-01"
"종로구","공원055_종로 157 종묘광장공원_메인","37.5720","126.9958","1","2022-12-01"
"종로구","공원056_종로 157 종묘광장공원_메인","37.5715","126.9961","1","2022-12-01"
"종로구","공원057_종로 157 종묘광장공원_메인","37.5718","126.9958","1","2022-12-01"
"종로구","공원058_종로 157 종묘광장공원_메인","37.5711","126.9955","1","2022-12-01"
"종로구","공원059_청진동 146-3 청진공원_메인","37.5715","126.9798","1","2022-12-01"
"종로구","공원060_창신동 23-362 창신어린이공원_검지1","37.5779","127.0131","1","2022-12-01"
"종로구","공원060_창신동 23-362 창신어린이공원_메인","37.5779","127.0131","1","2022-12-01"
"종로구","공원061_숭인동 58-59 숭인공원_메인","37.5774","127.0181","1","2022-12-01"
"종로구","공원062_숭인동 58-70 숭인공원_메인","37.5772","127.0178","1","2022-12-01"
"종로구","공원063_송월동 1-92 돈의문1구역 어린이공원_검지1","37.5711","126.9652","1","2022-12-01"
"종로구","공원063_송월동 1-92 돈의문1구역 어린이공원_메인","37.5711","126.9652","1","2022-12-01"
"종로구","공원064_홍파동 5-21 돈의문1구역 어린이공원_검지1","37.5714","126.9647","1","2022-12-01"
"종로구","공원064_홍파동 5-21 돈의문1구역 어린이공원_메인","37.5714","126.9647","1","2022-12-01"
"종로구","공원065_송월동 32-43 돈의문1구역 소공원_검지1","37.5701","126.9656","1","2022-12-01"
"종로구","공원065_송월동 32-43 돈의문1구역 소공원_검지2","37.5701","126.9656","1","2022-12-01"
"종로구","공원065_송월동 32-43 돈의문1구역 소공원_메인","37.5701","126.9656","1","2022-12-01"
"종로구","공원066_송월동 32-43 돈의문1구역 소공원_메인","37.5698","126.9654","1","2022-12-01"
"종로구","공원067_숭인동 72-213 숭인공원_메인","37.5752","127.0181","1","2022-12-01"
"종로구","공원068_부암동 262-1_검지1","37.5923","126.9647","1","2022-12-01"
